image,label
ISIC_0024310,0
ISIC_0024313,0
ISIC_0024315,0
ISIC_0024323,0
ISIC_0024333,0
ISIC_0024351,0
ISIC_0024367,0
ISIC_0024400,0
ISIC_0024410,0
ISIC_0024449,0
ISIC_0024459,0
ISIC_0024481,0
ISIC_0024482,0
ISIC_0024496,0
ISIC_0024516,0
ISIC_0024525,0
ISIC_0024537,0
ISIC_0024545,0
ISIC_0024546,0
ISIC_0024552,0
ISIC_0024554,0
ISIC_0024571,0
ISIC_0024586,0
ISIC_0024624,0
ISIC_0024630,0
ISIC_0024640,0
ISIC_0024644,0
ISIC_0024647,0
ISIC_0024652,0
ISIC_0024675,0
ISIC_0024679,0
ISIC_0024688,0
ISIC_0024700,0
ISIC_0024701,0
ISIC_0024702,0
ISIC_0024729,0
ISIC_0024732,0
ISIC_0024733,0
ISIC_0024739,0
ISIC_0024756,0
ISIC_0024767,0
ISIC_0024792,0
ISIC_0024805,0
ISIC_0024806,0
ISIC_0024823,0
ISIC_0024853,0
ISIC_0024864,0
ISIC_0024865,0
ISIC_0024875,0
ISIC_0024886,0
ISIC_0024898,0
ISIC_0024900,0
ISIC_0024911,0
ISIC_0024918,0
ISIC_0024929,0
ISIC_0024930,0
ISIC_0024932,0
ISIC_0024940,0
ISIC_0024951,0
ISIC_0024952,0
ISIC_0024958,0
ISIC_0024961,0
ISIC_0024962,0
ISIC_0024967,0
ISIC_0024972,0
ISIC_0024987,0
ISIC_0024999,0
ISIC_0025018,0
ISIC_0025035,0
ISIC_0025081,0
ISIC_0025085,0
ISIC_0025097,0
ISIC_0025105,0
ISIC_0025121,0
ISIC_0025127,0
ISIC_0025128,0
ISIC_0025132,0
ISIC_0025145,0
ISIC_0025153,0
ISIC_0025155,0
ISIC_0025188,0
ISIC_0025195,0
ISIC_0025219,0
ISIC_0025234,0
ISIC_0025235,0
ISIC_0025238,0
ISIC_0025248,0
ISIC_0025265,0
ISIC_0025268,0
ISIC_0025277,0
ISIC_0025303,0
ISIC_0025313,0
ISIC_0025316,0
ISIC_0025317,0
ISIC_0025324,0
ISIC_0025363,0
ISIC_0025391,0
ISIC_0025394,0
ISIC_0025409,0
ISIC_0025413,0
ISIC_0025414,0
ISIC_0025439,0
ISIC_0025450,0
ISIC_0025451,0
ISIC_0025472,0
ISIC_0025489,0
ISIC_0025500,0
ISIC_0025512,0
ISIC_0025520,0
ISIC_0025524,0
ISIC_0025531,0
ISIC_0025543,0
ISIC_0025546,0
ISIC_0025550,0
ISIC_0025573,0
ISIC_0025589,0
ISIC_0025592,0
ISIC_0025603,0
ISIC_0025611,0
ISIC_0025616,0
ISIC_0025651,0
ISIC_0025663,0
ISIC_0025674,0
ISIC_0025708,0
ISIC_0025709,0
ISIC_0025724,0
ISIC_0025732,0
ISIC_0025744,0
ISIC_0025748,0
ISIC_0025751,0
ISIC_0025755,0
ISIC_0025766,0
ISIC_0025783,0
ISIC_0025791,0
ISIC_0025800,0
ISIC_0025814,0
ISIC_0025832,0
ISIC_0025835,0
ISIC_0025891,0
ISIC_0025904,0
ISIC_0025927,0
ISIC_0025941,0
ISIC_0025955,0
ISIC_0025963,0
ISIC_0025964,0
ISIC_0025987,0
ISIC_0025996,0
ISIC_0026009,0
ISIC_0026045,0
ISIC_0026081,0
ISIC_0026086,0
ISIC_0026089,0
ISIC_0026094,0
ISIC_0026105,0
ISIC_0026113,0
ISIC_0026115,0
ISIC_0026120,0
ISIC_0026131,0
ISIC_0026150,0
ISIC_0026158,0
ISIC_0026167,0
ISIC_0026188,0
ISIC_0026207,0
ISIC_0026229,0
ISIC_0026236,0
ISIC_0026239,0
ISIC_0026247,0
ISIC_0026258,0
ISIC_0026266,0
ISIC_0026268,0
ISIC_0026281,0
ISIC_0026296,0
ISIC_0026314,0
ISIC_0026352,0
ISIC_0026360,0
ISIC_0026369,0
ISIC_0026420,0
ISIC_0026430,0
ISIC_0026438,0
ISIC_0026458,0
ISIC_0026475,0
ISIC_0026489,0
ISIC_0026500,0
ISIC_0026506,0
ISIC_0026516,0
ISIC_0026531,0
